大分類,中分類,機能名,機能説明,対象ユーザー,対象画面,備考
ウェブサイト基盤,多言語対応,言語切替機能,日本語と英語の表示切替、URL自動判定,一般ユーザー,全画面,middleware.tsで制御
ウェブサイト基盤,多言語対応,デフォルト言語設定,言語未指定時の日本語自動リダイレクト,一般ユーザー,全画面,SEO対策も兼ねる
ウェブサイト基盤,ナビゲーション,ヘッダーメニュー,主要ページへのナビゲーション,一般ユーザー,全画面,言語別コンポーネント
ウェブサイト基盤,ナビゲーション,フッターリンク,法的ページ・会社情報へのリンク,一般ユーザー,全画面,プライバシーポリシー等
ウェブサイト基盤,ナビゲーション,パンくずナビゲーション,現在位置の表示,一般ユーザー,詳細ページ,ユーザビリティ向上
ウェブサイト基盤,レスポンシブ対応,モバイル最適化,スマートフォン・タブレット対応,一般ユーザー,全画面,Tailwind CSSで実装
ウェブサイト基盤,アニメーション,初回表示アニメーション,Lottieアニメーションによる演出,一般ユーザー,トップページ,ブランディング効果
ウェブサイト基盤,アニメーション,スクロールアニメーション,Framer Motionによる要素のフェードイン,一般ユーザー,全画面,UX向上
コンテンツ表示,トップページ,ファーストビュー,メインビジュアルとキャッチコピー表示,一般ユーザー,トップページ,企業の第一印象
コンテンツ表示,トップページ,サービス紹介セクション,主要3サービスの概要表示,一般ユーザー,トップページ,各サービスページへの導線
コンテンツ表示,トップページ,ニュース表示セクション,最新ニュース3件の表示,一般ユーザー,トップページ,microCMS連携
コンテンツ表示,トップページ,お問い合わせ誘導セクション,問い合わせフォームへの誘導,一般ユーザー,トップページ,コンバージョン施策
コンテンツ表示,会社概要,企業情報表示,会社名・代表者・資本金等の表示,一般ユーザー,会社概要ページ,信頼性向上
コンテンツ表示,会社概要,所在地情報,オフィス住所・アクセス情報,一般ユーザー,会社概要ページ,地図連携は未実装
コンテンツ表示,サービス,サービス詳細表示,各サービスの詳細説明,一般ユーザー,サービスページ,BPO・カフェテリア・ホスピタリティ
コンテンツ表示,サービス,事業領域説明,対象業界・クライアント例の表示,一般ユーザー,サービスページ,営業資料的な内容
コンテンツ表示,企業理念,理念メッセージ表示,企業のビジョン・ミッション表示,一般ユーザー,企業理念ページ,ブランディング
コンテンツ表示,企業理念,コンセプト説明,サービス提供の考え方説明,一般ユーザー,企業理念ページ,差別化要因の訴求
コンテンツ管理,ニュース管理,記事一覧表示,ニュース記事のカード形式一覧,一般ユーザー,ニュース一覧ページ,microCMS連携
コンテンツ管理,ニュース管理,記事詳細表示,個別ニュース記事の詳細表示,一般ユーザー,ニュース詳細ページ,HTMLコンテンツ対応
コンテンツ管理,ニュース管理,記事作成機能,新規ニュース記事の作成,管理者,microCMS管理画面,HTMLエディター搭載
コンテンツ管理,ニュース管理,記事編集機能,既存記事の編集・更新,管理者,microCMS管理画面,下書き・公開状態管理
コンテンツ管理,ニュース管理,記事削除機能,不要記事の削除,管理者,microCMS管理画面,論理削除対応
コンテンツ管理,ニュース管理,公開状態管理,記事の公開・非公開制御,管理者,microCMS管理画面,公開予約機能付き
フォーム機能,お問い合わせ,基本情報入力,氏名・所属・連絡先の入力,一般ユーザー,お問い合わせページ,必須項目バリデーション
フォーム機能,お問い合わせ,問い合わせ種別選択,サービス・採用・その他の分類,一般ユーザー,お問い合わせページ,適切な担当者振り分け
フォーム機能,お問い合わせ,問い合わせ内容入力,詳細な問い合わせ内容の記述,一般ユーザー,お問い合わせページ,2000文字制限
フォーム機能,お問い合わせ,入力値バリデーション,Zodスキーマによる厳密な検証,一般ユーザー,お問い合わせページ,リアルタイムエラー表示
フォーム機能,お問い合わせ,送信処理,Server Actionsによるフォーム送信,一般ユーザー,お問い合わせページ,非同期処理
フォーム機能,お問い合わせ,完了ページ表示,送信完了後の確認ページ,一般ユーザー,お問い合わせ完了ページ,ユーザー体験向上
フォーム機能,採用応募,職種選択,6職種から応募職種を選択,求職者,採用情報ページ,動的ルーティング対応
フォーム機能,採用応募,基本情報入力,氏名・連絡先等の基本情報入力,求職者,採用応募ページ,お問い合わせと共通項目
フォーム機能,採用応募,履歴書アップロード,履歴書ファイルのアップロード,求職者,採用応募ページ,PDF・DOC・DOCX対応
